mp_id,first_name,last_name,club,x_mean,x_sd,x_lo90,x_hi90,rhat
215,Edward,Maniura,PO,-1.3569615498351073,0.06400412232415256,-1.4696440858299313,-1.2617478293309088,1.0125744285160225
364,Waldemar,Szadny,PO,-1.3338768211765326,0.047558070027549,-1.414809079531694,-1.2590235100559792,1.0069093944424499
26,Beata,Bublewicz,PO,-1.333411778106012,0.042377256282604456,-1.4071903959481684,-1.2687717347649023,1.005038480803956
194,Dariusz,Lipiński,PO,-1.3154556961544253,0.04027068782116595,-1.3831363809107207,-1.2517537172905857,1.0022315887330209
100,Hanna,Gronkiewicz-Waltz,PO,-1.3135834402443753,0.04987926955772688,-1.3993686519032562,-1.2352049136988121,1.0050464843018265
429,Marek,Wójcik,PO,-1.3128317762032988,0.03913953657372476,-1.3797224212245032,-1.2523380555559203,1.0028766603535533
433,Eugeniusz,Wycisło,PO,-1.312740037632936,0.03954515304859707,-1.3830244027636442,-1.25114879561506,1.0184214840215526
374,Krystyna,Szumilas,PO,-1.3106393779024976,0.037997661342377656,-1.374651358760643,-1.2498013226569131,1.0048555493784297
80,Stanisław,Gawłowski,PO,-1.3100156587294034,0.03914562999396273,-1.3762877493699968,-1.2483888071337894,1.0046944250622396
334,Henryk,Siedlaczek,PO,-1.308997311049292,0.03938920356032586,-1.3775712598604257,-1.2473252000512483,1.0040637692246421
393,Donald,Tusk,PO,-1.302760856643804,0.041927953550793616,-1.375625170825187,-1.236972713078514,1.0074285606585187
101,Rafał,Grupiński,PO,-1.3024078518825954,0.0376847235845967,-1.365891756976199,-1.2426541213344207,1.0039920177691068
34,Zbigniew,Chlebowski,PO,-1.3022122336569226,0.03936059771575088,-1.3686361954528636,-1.2393363548724403,1.0048520743907343
252,Sławomir,Nowak,PO,-1.301827906170219,0.03987660438103073,-1.3704258995001277,-1.2387849175380197,1.00792224720316
295,Julia,Pitera,PO,-1.2976761029370765,0.03724353774484815,-1.3617395923754458,-1.2395705885156179,1.0033186335307895
244,Rafał,Muchacki,PO,-1.2974132379679735,0.038948176962768574,-1.3620833928463516,-1.235420069225265,1.0058836418489951
373,Jakub,Szulc,PO,-1.2951208565750667,0.03683385304334125,-1.358319707971155,-1.2372399706941826,1.0065111674272043
448,Bogdan,Zdrojewski,PO,-1.2933365045344765,0.037192173672569814,-1.357797196646387,-1.2354295431074005,1.0110140769322005
144,Małgorzata,Kidawa-Błońska,PO,-1.293273484299917,0.03745502139630363,-1.35744881625365,-1.2341312257371535,1.004214965878461
160,Ewa,Kopacz,PO,-1.2908196022165739,0.03738639960655863,-1.3560583784449718,-1.2332728008526581,1.002734773633523
382,Iwona,Śledzińska-Katarasińska,PO,-1.2895089811350329,0.0372348521516692,-1.3517571439821208,-1.2311833684442126,1.0038913936787033
8,Urszula,Augustyn,PO,-1.288884808936789,0.036930572345149515,-1.3515379471969258,-1.2306924754652229,1.0074013808880162
195,Krzysztof,Lisek,PO,-1.2883668495591953,0.03964121492016173,-1.3579435126567838,-1.226179642340653,1.0032396911682284
99,Paweł,Graś,PO,-1.2880282379394392,0.04053003859474261,-1.356837408110728,-1.2236908166965612,1.0027503177793662
318,Jakub,Rutnicki,PO,-1.286551377056167,0.03619203913773408,-1.348014849023535,-1.2282189146376838,1.003310294585924
65,Waldy,Dzikowski,PO,-1.2862727311464432,0.03698803104912804,-1.348040558181688,-1.2265496250210253,1.0050582040056248
243,Izabela,Mrzygłocka,PO,-1.285057266565128,0.036600949179693046,-1.3457636813602583,-1.2273138008464894,1.0089310651201442
273,Janusz,Palikot,PO,-1.2843538815433355,0.04830668837437833,-1.3685618070304175,-1.2119059778699859,1.007007245673446
161,Domicela,Kopaczewska,PO,-1.2843351307948982,0.03548434657608441,-1.3447666881268365,-1.2274504793563414,1.004575315953146
164,Roman,Kosecki,PO,-1.2819030209985265,0.03629752497767035,-1.3423768777438077,-1.2229800526767176,1.0047329497276594
85,Tomasz,Głogowski,PO,-1.281848069892095,0.036791112151179986,-1.343720929587862,-1.2244831915857228,1.0076540377727732
236,Aldona,Młyńczak,PO,-1.2817249509965536,0.03441368700980958,-1.3400491157620982,-1.2267397133278384,1.0035645523969499
285,Sławomir,Piechota,PO,-1.2811623964166305,0.03523016955755848,-1.3407529776444258,-1.2258821034680856,1.001905699882519
20,Bogdan,Bojko,PO,-1.2809244234323112,0.03480909414046059,-1.3403459879452784,-1.2260357225736471,1.0052276120143186
459,Stanisław,Żmijan,PO,-1.28061678763502,0.03542561151629793,-1.3408787682122731,-1.2233910761147628,1.0023986235529523
441,Krzysztof,Zaremba,PO,-1.278707312903783,0.03578404382188598,-1.3402947829327956,-1.2226224809496569,1.0071213206939895
96,Cezary,Grabarczyk,PO,-1.278314143231358,0.03451333891386125,-1.336280958519372,-1.2240602237114568,1.001976486790953
400,Jarosław,Wałęsa,PO,-1.2780666865845547,0.034632726198112244,-1.3380375631912291,-1.2238739150911522,1.0023182380240938
49,Andrzej,Czerwiński,PO,-1.2776960745404018,0.03483240391193179,-1.337027047703622,-1.2222625915677885,1.005076477909545
214,Beata,Małecka-Libera,PO,-1.2765459837509097,0.0357109314055577,-1.337508583135264,-1.2197710065077652,1.0067903856049398
102,Krzysztof,Grzegorek,PO,-1.276540931236498,0.03655289373331946,-1.3387710811757418,-1.2180275473731341,1.0040750626157489
315,Halina,Rozpondek,PO,-1.2747096818326413,0.03582685201679388,-1.3349297870610088,-1.217460033898714,1.0043663960885534
320,Sławomir,Rybicki,PO,-1.2738620620390453,0.033906409497088646,-1.330721279391687,-1.2191503416932008,1.0070252641108253
30,Bożenna,Bukiewicz,PO,-1.2734355615261588,0.03458167359307066,-1.3314634339194773,-1.2195032924222828,1.0030876828062274
423,Ewa,Wolak,PO,-1.273287126478142,0.034795441910181815,-1.3333489547538202,-1.2182817471847929,1.0053669264735305
219,Andrzej,Markowiak,PO,-1.2729263957645705,0.034378919775993506,-1.3309519261294203,-1.2188654532238374,1.007827908717969
397,Jarosław,Urbaniak,PO,-1.2723061789431431,0.036649397930063596,-1.3350305284790553,-1.2149129421289102,1.0068130992696356
70,Arkady,Fiedler,PO,-1.2721207384906568,0.035315383915866895,-1.3333375361229198,-1.216664118520128,1.0037906206346379
162,Tadeusz,Kopeć,PO,-1.2707195224781203,0.03288176344725238,-1.3263308847943285,-1.218287346557716,1.0021307240253423
420,Jacek,Wojciechowicz,PO,-1.269919432252798,0.040187863352332785,-1.3380774510896682,-1.2059492333663713,1.001791668811815
36,Stanisław,Chmielewski,PO,-1.2694946612165021,0.03317712192180155,-1.3259124336972266,-1.2173861452325794,1.0029029624909185
179,Jacek,Krupa,PO,-1.2679741745655955,0.03330525287422443,-1.3252549019108428,-1.216143979801635,1.0039096735229975
59,Grzegorz,Dolniak,PO,-1.2676130704282722,0.03439099981741845,-1.3264964902379168,-1.2137501050113264,1.0027728277999046
408,Ewa,Więckowska,PO,-1.2669845238228248,0.0331902444182563,-1.3236415140999611,-1.2137230180276606,1.0016029233277823
