mp_id,first_name,last_name,club,x_mean,x_sd,x_lo90,x_hi90,rhat
107,Marta,Golbik,KO,-1.4883404595793353,0.05324312686630311,-1.5765439862627444,-1.4026030477771545,1.0445858274142379
262,Sławomir,Neumann,KO,-1.4485541980809924,0.05245381955978046,-1.5358784823370695,-1.363553041153697,1.0206396174979417
341,Tomasz,Siemoniak,KO,-1.433577422460857,0.048620401560617046,-1.5138682867156807,-1.3591403196307077,1.037093124866293
131,Iwona,Hartwich,KO,-1.4120910596647291,0.04466442486343909,-1.486337015289113,-1.3402699225548775,1.0313214976682588
122,Rafał,Grupiński,KO,-1.3957533397170543,0.04358364224289347,-1.4691159484642582,-1.3250613447636692,1.0352585853869463
208,Maciej,Lasek,KO,-1.38022204692478,0.04294733026799689,-1.4515165521555515,-1.3086996250617602,1.0182952949716728
244,Krzysztof,Mieszkowski,KO,-1.3772006563330412,0.04210332775336677,-1.4498166613396084,-1.311570353743889,1.0148134214527347
161,Joanna,Kluzik-Rostkowska,KO,-1.3766535445077406,0.04079216751033446,-1.4448983777625375,-1.3096846365275885,1.0421221567985948
135,Marek,Hok,KO,-1.3702550131674525,0.043963191304285984,-1.4442251646887292,-1.299896743266149,1.0178739517667352
415,Anna,Wasilewska,KO,-1.365299268549708,0.0637593063342646,-1.475336642831091,-1.266476416934929,1.027639121480106
404,Robert,Tyszkiewicz,KO,-1.3602311359309838,0.042020757098223865,-1.4342038913118356,-1.2946226463201365,1.0124538350272827
377,Krystyna,Szumilas,KO,-1.3566352594946958,0.04072606764716332,-1.4233736303634552,-1.2895086805904672,1.0131713826208915
143,Maria,Janyska,KO,-1.3560495871354976,0.04522774286548515,-1.4324918542942706,-1.2855839766494106,1.041717766261582
373,Adam,Szłapka,KO,-1.3495471204665972,0.04028961237365415,-1.4176006938418795,-1.2859459729857836,1.0141890536221607
330,Grzegorz,Schetyna,KO,-1.343042158762803,0.04120151766343,-1.4129728516145506,-1.280259134386328,1.0357431170765101
475,Stanisław,Żmijan,KO,-1.3389368686110317,0.13607343206929878,-1.5790858525904663,-1.126650445237699,1.0161295505598777
384,Iwona,Śledzińska-Katarasińska,KO,-1.3377528731789294,0.045347502678711585,-1.4148498774621117,-1.2670344921470829,1.0301010772371448
130,Jerzy,Hardie-Douglas,KO,-1.3349995140113597,0.04280804387889789,-1.408954770459848,-1.2665336222208563,1.0377682459238093
165,Zbigniew,Konwiński,KO,-1.327273855679495,0.03843291222103237,-1.3904899529225057,-1.2662072539384792,1.0167431433211565
254,Izabela,Mrzygłocka,KO,-1.3272202802857305,0.043734720376086576,-1.403575331629006,-1.2596600050445284,1.0192354659637703
342,Bartłomiej,Sienkiewicz,KO,-1.3262544664054312,0.03856571946493771,-1.3908226778236898,-1.2640341580156707,1.0360520416191656
145,Joanna,Jaśkowiak,KO,-1.3233113758648447,0.04277890370172952,-1.3983521864361972,-1.258092700312389,1.0435554821002426
26,Mateusz,Bochenek,KO,-1.320470140647181,0.041149779323730824,-1.3922549116732292,-1.2559418146104937,1.02890114905158
11,Urszula,Augustyn,KO,-1.3166797040146394,0.04003786553877119,-1.3840465479839412,-1.2532741230363047,1.02092922430532
213,Izabela,Leszczyna,KO,-1.3122192971349114,0.0392771195684857,-1.3787721635077657,-1.25062589287698,1.0109713263543958
396,Cezary,Tomczyk,KO,-1.312089581435179,0.038908063643493626,-1.3793070180977096,-1.251078383188624,1.02561331201988
185,Michał,Krawczyk,KO,-1.3090201537350137,0.03776961595410545,-1.3736694615670255,-1.2479788052141227,1.027408063673784
344,Krystyna,Skowrońska,KO,-1.3078307646312044,0.040504620057698414,-1.3749600070591936,-1.2434155711081225,1.016250496579907
400,Krzysztof,Truskolaski,KO,-1.307424074169631,0.03939389887902679,-1.3756304090254532,-1.2463522430521987,1.0188497937647285
194,Henryka,Krzywonos-Strycharska,KO,-1.3030177977617377,0.040043789463443905,-1.3709847152776238,-1.2401443902666691,1.0231043180161181
180,Iwona,Kozłowska,KO,-1.3024788500585613,0.03643766509860282,-1.3627603453920176,-1.2428578067543925,1.0241245470361537
187,Robert,Kropiwnicki,KO,-1.3006135155891072,0.037684493488716136,-1.365237788993665,-1.241157552292568,1.0075468472526374
