mp_id,first_name,last_name,club,x_mean,x_sd,x_lo90,x_hi90,rhat
405,Tomasz,Tomczykiewicz,PO,-1.4658750709575556,0.31501182612841283,-2.003758798717254,-0.9703537879892696,1.0004272854216478
13,Urszula,Augustyn,PO-KO,-1.3842891617668227,0.03344202438540082,-1.44227519784614,-1.330870162952636,1.014873706386377
169,Ewa,Kopacz,PO-KO,-1.3813854508546404,0.03364955853211686,-1.4398525542791183,-1.329516477002269,1.0104295927116267
113,Cezary,Grabarczyk,PO-KO,-1.376988301506232,0.03152339701490462,-1.4287580703795049,-1.3266273562367457,1.005445585936606
168,Zbigniew,Konwiński,PO-KO,-1.3752744868112454,0.03139750676961998,-1.4285136424973068,-1.3262854872029588,1.0054478796932056
165,Agnieszka,Kołacz-Leszczyńska,PO-KO,-1.373900580889749,0.0335668149559155,-1.4316400068649813,-1.3208690415988054,1.0104198941086202
194,Marek,Krząkała,PO-KO,-1.373858260533738,0.03161952285906062,-1.4262532525327714,-1.3215929838962222,1.0063230825192677
154,Małgorzata,Kidawa-Błońska,PO-KO,-1.362606690692143,0.03191419277090065,-1.4158611030403283,-1.3106906727422984,1.0061915275462185
52,Alicja,Chybicka,PO-KO,-1.3612293960174229,0.03274356638534634,-1.4177028374286431,-1.3093241172556522,1.0048061703641002
254,Aldona,Młyńczak,PO-KO,-1.3611924613428075,0.0335739629666468,-1.4182233816189316,-1.3085825274869973,1.005985857907276
298,Sławomir,Piechota,PO-KO,-1.3587106861762455,0.030522479545212013,-1.4090327546626258,-1.3090238970008279,1.005083297905489
75,Artur,Dunin,PO-KO,-1.349012940884102,0.030376642335970715,-1.3990151192127098,-1.2992693838803253,1.0075070292757338
136,Maria,Janyska,PO-KO,-1.3489280840219409,0.031763243404073396,-1.4039485494791506,-1.298856416326944,1.0163817915436484
97,Elżbieta,Gelert,PO-KO,-1.347372806334692,0.03022336986504395,-1.398749760842522,-1.2984295670012171,1.0066491465149565
270,Sławomir,Neumann,PO-KO,-1.3464252803167034,0.030797576713892702,-1.398122603407792,-1.2973591870469028,1.0047955695911999
189,Wojciech,Król,PO-KO,-1.346114974753925,0.030906734402966738,-1.3987551912772282,-1.2978517288611957,1.0049319754992125
252,Rajmund,Miller,PO-KO,-1.3459388225207194,0.030033436127978076,-1.3959875611851675,-1.2971958813585154,1.0047144210802774
303,Teresa,Piotrowska,PO-KO,-1.3439392757566637,0.031822878182590705,-1.3970208938754403,-1.291707517037257,1.007283585980788
453,Szymon,Ziółkowski,PO-KO,-1.3436578348784403,0.029732612928724544,-1.3928684501920239,-1.2947140049275803,1.0030741790688324
263,Joanna,Mucha,PO-KO,-1.3433578912177504,0.030649048937460725,-1.3958030887148294,-1.2954897661967377,1.005217320186834
