mp_id,club,last_name,dim1,dim2
1,PiS,Adamczyk,1.1299404592389632,-0.47595047075372116
2,KO,Adamowicz,-0.9694590687712374,-0.003943612620874
3,PiS,Andruszkiewicz,1.0457328898485383,0.017937995456965325
4,PiS,Andzel,1.141224772107276,-0.5586249364515631
5,PiS,Arciszewska-Mielewczyk,1.1571321610061123,-0.13346410120280283
6,Demokracja,Ardanowski,0.8014817460058148,0.7169005505211123
7,PiS,Arent,1.1926880125948098,-0.49643299971311516
8,KO,Arłukowicz,-0.9212550114739793,-0.40011147760716326
9,PiS,Ast,1.1594087037218712,-0.5369162561124575
10,KO,Augustyn,-1.0151716725668551,0.029455130005456902
11,PiS,Babinetz,1.2038488277955899,-0.44010847577437967
12,PiS,Bartosik,1.127280208743225,-0.23912066916145283
13,PSL-TD,Bartoszewski,-0.9840291584307761,0.47851705003664163
14,PiS,Bartuś,1.2180209848821293,-0.5705096373845134
15,PSL-TD,Bejda,-1.0283040876422467,0.6056610559472217
16,Konfederacja,Berkowicz,0.3976175608886511,3.967293344119977
17,KO,Bielawska,-1.0208925427128892,-0.010709084417065586
18,PSL-TD,Biernacki,-1.0021197593625442,0.7437666508275941
19,KO,Bliźniuk,-0.9538178778617411,-0.07140079440947694
20,PiS,Błaszczak,1.2059178150573184,-0.5933657794115712
21,KO,Bochenek,-1.026661374715017,0.0006211586512082266
22,PiS,Bochenek,1.2032752570368597,-0.5562847299930073
23,Centrum,Bodnar,-0.7985676791562752,0.06372989609360613
24,PiS,Bogucki,1.041107537017655,0.10722798929803236
25,PiS,Bogucki,1.2233070689210024,-0.32241396071120737
26,KO,Bojarski,-1.010759670477848,-0.011115360762131729
27,PiS,Borowiak,1.2137153288447762,-0.5746518724870784
28,PiS,Bortniczuk,1.2229668124618402,-0.39838619064456104
29,KO,Borys,-0.9066856437182141,-0.05739242551002577
30,PiS,Borys-Szopa,1.1875250040986127,-0.5480531846041383
31,KO,Bosacki,-0.9338239376216856,-0.043939206076111445
32,Konfederacja,Bosak,0.5756354105528232,4.550725212056319
33,Konfederacja,Bosak,0.6035392194246862,4.740610351330354
34,Konfederacja,Braun,0.5756028108229398,3.055070899220141
35,KO,Brejza,-0.9801185019691449,-0.29043533391882104
36,Polska2050,Buczyńska,-0.7544889566014452,0.03260036498183351
37,PiS,Buda,1.2054591364218568,-0.24268597002646322
38,KO,Budka,-0.6833519562092759,-0.31716943753060045
39,Centrum,Burkiewicz,-0.6593580792532258,-0.1286448849961436
40,PiS,Burzyńska,1.2510717567078609,-0.6398478200091307
41,KO,Chmielewski,-1.0267328922340897,-0.003423563521238949
42,PiS,Chmielowiec,0.9560670844447076,-0.03339761068275243
43,PiS,Chojecki,1.165166764210196,-0.328986625310025
44,PiS,Choma,1.181789843608222,-0.07461242092262123
45,PiS,Chorosińska,1.0380919230630634,-0.17405959522100198
46,PiS,Chrzan,1.0324615161101613,-0.12326848664452812
47,KO,Chybicka,-0.9629253554734177,-0.1334586424110598
48,PiS,Cicholska,1.153126295402387,-0.08897444797220076
49,KO,Cichoń,-0.9206650546540842,-0.07681942090764916
50,PiS,Ciecióra,0.9983106166630886,-0.025156247721773634
51,PiS,Cieszyński,0.8192481856362303,-0.19831588671641204
52,PiS,Cieślak,1.061584039535045,0.10382763515347673
53,Centrum,Cwalina-Śliwowska,-0.7579358623825283,0.023685618536955562
54,PiS,Czarnecki,1.174164541794324,-0.4491036102631385
55,PiS,Czarnecki,1.2223475895504115,-0.6764108751492559
56,PiS,Czarnek,1.0807533555944693,0.15723211536517664
57,PiS,Czartoryski,1.0917170073366707,-0.33302955022870684
58,Lewica,Czarzasty,-0.7910746972738592,-1.3514338540800546
59,Lewica,Czerniak,-0.8412480582555829,-1.380901146129487
60,KO,Czernow,-1.0356637531300297,0.004230910621129215
61,PiS,Czerwińska,1.2015717346323265,-0.5946177883494402
62,PiS,Czochara,1.1126111986502223,-0.12546643405564536
63,Centrum,Ćwik,-0.7340009384358039,-0.025811907959415067
64,PiS,Dajczak,1.1829272278451008,-0.10971876106746781
65,PiS,Dąbrowska-Banaszek,1.0792837691438801,-0.37750500015383825
66,PiS,Dolata,1.0529277761480502,-0.13883331022230172
67,KO,Dolniak,-1.0233771744874034,-0.0027611505115228323
68,KO,Domański,-1.041948266264509,-0.058378380895681446
69,PiS,Dorywalski,1.1783044122097521,0.005445673420631712
70,KO,Dowhan,-0.7212312846335098,0.050935800620619316
71,PiS,Drabek,1.1776243420939623,-0.4889662300493431
72,PiS,Duda,1.1388469377846955,-0.2584444087021184
73,PiS,Dworczyk,1.1867068910902396,-0.46266901465671156
74,PSL-TD,Dziedzic,-0.912274842864714,0.46002515221519147
75,PiS,Dziedziczak,1.2499224023782574,-0.6405935454390785
76,Lewica,Dziemianowicz-Bąk,-0.7760194355775212,-1.374327778228885
77,KO,Filiks,-0.8645384756379062,-0.05834212341086496
78,PiS,Filipek-Sobczak,1.1994418271476135,-0.38400344985454027
79,PiS,Fogiel,1.113929036572373,-0.4528593394691124
80,Konfederacja,Foltyn,0.5199504504726578,4.57847571639038
81,Konfederacja_KP,Fritz,0.7577389802213251,5.657152899353785
