mp_id,first_name,last_name,club,x_mean,x_sd,x_lo90,x_hi90,rhat
328,Joanna,Scheuring-Wielgus,Lewica,-1.1232061299433227,0.2386265953851437,-1.5360004866862964,-0.7739136301377703,1.0203995754949549
68,Andrzej,Domański,KO,-1.0859326331607422,0.07614393698666877,-1.2216077396806762,-0.9727526626072964,1.062952012165202
494,Robert,Jagła,KO,-1.075931338139506,0.07202665286633271,-1.2017133313665769,-0.9648820686555312,1.014338660201305
475,Katarzyna,Królak,KO,-1.0720577837235852,0.07107375849974883,-1.196225732542289,-0.9621189817138114,1.0163493577759741
300,Elżbieta,Polak,KO,-1.067034666659492,0.06983907028146041,-1.1967052587460354,-0.966743694012014,1.0176138875039127
482,Mariusz,Popielarz,KO,-1.066107442662072,0.07157054574180562,-1.1965835501812547,-0.9610703256609878,1.027263137836347
293,Lucjan,Pietrzczyk,KO,-1.065718378137812,0.06409183179045273,-1.179619300013753,-0.9673808996247573,1.0441109582321808
469,Barbara,Grygorcewicz,KO,-1.064534976515789,0.06799590919956064,-1.1864341500354791,-0.9615092421258566,1.0175708372346037
465,Dominik,Jaśkowiec,KO,-1.0641790821635422,0.06746096386832491,-1.1759020008145522,-0.9583419138267684,1.00999794905104
233,Dorota,Marek,KO,-1.0635830604458678,0.07005670008332666,-1.1862583339791912,-0.9591710533366293,1.020254615274444
194,Marek,Krząkała,KO,-1.0635397742764332,0.06600084349021687,-1.1775766669693775,-0.9639255474273264,1.0185741623688214
467,Katarzyna,Stachowicz,KO,-1.0631697664078426,0.06963116566415765,-1.1833890283249044,-0.953446941614682,1.026658041907159
408,Robert,Wardzała,KO,-1.0628739171434984,0.07189883713819027,-1.187313322692695,-0.9560646028593004,1.0161831154877314
41,Marek,Chmielewski,KO,-1.062730324289073,0.0696239785193258,-1.1818100977447406,-0.957830453226126,1.0252413123180362
462,Magdalena,Łośko,KO,-1.0622085319842882,0.07097674652702811,-1.1823838706726795,-0.9568570999226925,1.0248489140997585
175,Tomasz,Kostuś,KO,-1.0621550853726784,0.06653889628049602,-1.1833504931985366,-0.9618173536011302,1.0243636979322248
87,Kinga,Gajewska,KO,-1.06172969095569,0.06844087316159836,-1.1824328192532017,-0.958682703166432,1.0646698978624558
60,Zofia,Czernow,KO,-1.0610138571153096,0.06821486369190462,-1.18642974895551,-0.9599775780721581,1.0092416666334845
86,Aleksandra,Gajewska,KO,-1.0609116398289904,0.06761693314536389,-1.177129665788716,-0.9556600843453097,1.018223393551981
403,Jarosław,Urbaniak,KO,-1.0608560785750405,0.0743273609605275,-1.1892084466100372,-0.9496385936628682,1.0356583344603414
114,Krzysztof,Grabczuk,KO,-1.0605768493772598,0.06868972075629698,-1.1847317917113516,-0.9535015236660319,1.0055196197448886
188,Robert,Kropiwnicki,KO,-1.060150745389369,0.07074979186533334,-1.1900921489265062,-0.9569194707270962,1.0164616189730427
163,Joanna,Kluzik-Rostkowska,KO,-1.0584168378307386,0.06528145267593671,-1.1729972684322896,-0.9614482465233541,1.018250632130677
17,Sylwia,Bielawska,KO,-1.0583950854365878,0.0640374201595113,-1.1667511706432754,-0.9581568990216394,1.0199641453161037
223,Krystian,Łuczak,KO,-1.0580831123934904,0.06762490749188887,-1.1784114048472778,-0.958255336068008,1.0095317030254352
124,Marek,Gzik,KO,-1.0573819117164274,0.06417016470720935,-1.1681960488889287,-0.9605053563032292,1.0239165616753592
161,Katarzyna,Kierzek-Koperska,KO,-1.0572338994959163,0.07837230473442633,-1.2054430671564875,-0.9434800494950978,1.0236299482956104
287,Małgorzata,Pępek,KO,-1.056670892855003,0.059955564877264556,-1.1614838737115893,-0.9634261400171235,1.0262012889241385
222,Dorota,Łoboda,KO,-1.0563575261742624,0.06898309832606438,-1.1773657110196454,-0.9531539186734246,1.021443394966132
21,Mateusz,Bochenek,KO,-1.056018763732919,0.06687048390214416,-1.1743840886348766,-0.9526246959130165,1.026121350075532
464,Alicja,Łuczak,KO,-1.055799196859133,0.06350616505256956,-1.1678542496975428,-0.9589282718324927,1.025473805292706
182,Iwona,Kozłowska,KO,-1.0548924160518054,0.06323260424815129,-1.1586277707253452,-0.9530023097032966,1.0134826938022452
127,Iwona,Hartwich,KO,-1.0539301680254645,0.06061586804513462,-1.160764832772441,-0.959568804258439,1.0102247655670167
