mp_id,club,last_name,dim1,dim2,dim1_sd,dim2_sd,dim1_lo90,dim1_hi90,dim2_lo90,dim2_hi90,rhat
1,PO,Abgarowicz,-0.9796248751777937,-0.8471604661464162,0.03422722965467147,0.06590668870246678,-1.037143811443455,-0.9244120582837004,-0.9569667740257662,-0.7406150069142587,1.0027629197416723
2,PiS,Adamczyk,0.9472749729454448,-0.33792671471640506,0.05146849776605467,0.0828311515569998,0.8667094280884129,1.0349577351964503,-0.47591167714151195,-0.20660462222838166,1.0076713220725135
3,PO,Ambroziewicz,-1.2834841961245305,-0.9214644577013116,0.06621600014697666,0.08550914623938463,-1.3996144974941511,-1.1770733965134574,-1.067218037474362,-0.7856936708214268,1.0095129081462897
4,LPR,Andrejuk,0.8128381032160651,0.9688176925072596,0.02950275075333795,0.03843197211033155,0.7646011425065863,0.862136241698458,0.9057369448873258,1.0324255429890121,1.0047051706922376
5,PiS,Andzel,1.0919114964674907,-0.6160105032093293,0.0711408219966137,0.11599260933608696,0.9820724119456898,1.2182173957803342,-0.8152453751659494,-0.43454585721410005,1.0080028521972315
6,PO,Arndt,-1.1949684351469092,-0.9286055316369688,0.050684506408817345,0.07867365613604013,-1.2804919839640698,-1.1138093164521508,-1.060956609499705,-0.800920636859689,1.0073145497218345
7,Samoobrona,Aszkiełowicz,0.5396398580562047,0.6565706628834611,0.021074193326011462,0.03540393065445796,0.504988775590547,0.5742519230613677,0.5983077480363793,0.7144637068928614,1.0085395294446449
8,PO,Augustyn,-1.3609031612151081,-1.047743632457229,0.07311869346197794,0.09753984737260754,-1.4884663279168018,-1.246842168154439,-1.215703880521053,-0.893220428386474,1.0332821155688774
9,PO,Aziewicz,-1.290513087871828,-1.1317742224732081,0.0635833809625283,0.0974999644963361,-1.3992006761755322,-1.1936470140039874,-1.2951803228582885,-0.9721784352315915,1.0082394353529305
10,LPR,Bałażak,0.8051998329251522,0.9653430097033845,0.028813951115288897,0.03747752108208472,0.7585228475511783,0.8533918370056084,0.9038185270290486,1.0278595667603159,1.002509130820567
11,Prawica,Bartyzel,0.7430313084384309,0.12115164496411004,0.02790835736862994,0.043120695646773774,0.6977588112306806,0.7893328285497734,0.049473546174107354,0.19150861601045138,1.0029235618430736
12,niez.,Bednarek,0.6215214542472408,0.6415224096720956,0.022481749603570685,0.033870092484866006,0.5850030186424148,0.6588253582961605,0.5856405448964809,0.6974791225592243,1.0035602940755106
13,Samoobrona,Beger,0.5466099815181051,0.7712646462074603,0.023599799156892396,0.03738935850826972,0.5082164276781245,0.5856749958691334,0.7100801240421705,0.8324635433146886,1.0036661924388965
14,niez.,Bestry,0.7666722602280529,0.2871624017556241,0.044089767669206165,0.052089430734744396,0.6949498193221588,0.8393715098507609,0.20052436282072075,0.37219029611040666,1.0020537933980787
15,PiS,Bielecki,1.0093117302660959,-0.4311392034713409,0.05502786986116183,0.09152765863272205,0.921726101036415,1.1012777083155492,-0.5853339947727156,-0.28232920859778166,1.0067382025384755
16,PO,Biernacki,-1.1688235490388161,-1.0641143600489664,0.048472698937736716,0.08743688614956546,-1.2506109331216673,-1.0904304336667754,-1.2102124211490775,-0.9217955583251536,1.008733974320915
17,PO,Biernat,-1.202274151250361,-0.9161569922616841,0.052634238973443694,0.07821758028752972,-1.2937400667713959,-1.1193882629400016,-1.0484120398699925,-0.7927871119017948,1.0115563990173746
18,SLD,Błochowiak,-0.9353861433728312,2.043899154218531,0.03427103658480074,0.06130408240454272,-0.9925050696872657,-0.8793138130130093,1.945634835269165,2.1477125845069516,1.005439195251847
19,PiS,Bogucki,0.9558392004408702,-0.42724740176367887,0.05192548082311744,0.0886092852144109,0.8729168971757915,1.0444038910050442,-0.5755039864240737,-0.28495786796318595,1.005704022728826
20,PO,Bojko,-1.286230983942386,-0.9317511018577712,0.060505087117793004,0.0827326723741615,-1.3903835435876664,-1.1904425634361457,-1.0701939669524787,-0.802295810878111,1.0079003790482075
21,PSL,Borawski,-0.39952641182249377,0.6684625574479794,0.030388998508738975,0.06332247319057883,-0.4497126133199371,-0.3496629795437968,0.5652469739446432,0.7731712269836017,1.0020570803567355
22,Samoobrona,Borysiuk,0.5743248711093062,0.7247056130185341,0.02143945417304166,0.03385148031371268,0.5393953079778195,0.6099025103357072,0.6686985619597847,0.7802225662673562,1.0032266100434921
23,PiS,Bosak,0.7508622661536674,-0.2647201633714575,0.03223885666909046,0.06435518424425193,0.6985565046819908,0.8041244998641945,-0.3719657746483153,-0.1591053449180881,1.005083100074581
24,LPR,Bosak,0.7581226771762576,0.9230839467032307,0.02670828062095973,0.03638698614053209,0.7146398535422056,0.8026378338139731,0.8635983926581842,0.983665197044577,1.004665701048564
25,PiS,Brudziński,1.0004616478792454,-0.4482512639169764,0.06224865843847591,0.10246604223774704,0.9001351758985954,1.1060217190074386,-0.6205476459174617,-0.2825842823423529,1.0024600808147222
